epoch,accuracy,auc,fn,fp,loss,lr,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7969245910644531,0.8887935280799866,1922.0,2555.0,0.42209580540657043,0.004,0.7807995676994324,0.8256372809410095,8468.0,9101.0,0.496188759803772,0.6600817441940308,1388.0,0.0,2.4012582302093506,0.0,0.0,1367.0,0.0
1,0.9320511817932129,0.9744404554367065,558.0,940.0,0.19360780715942383,0.004,0.9175800085067749,0.9493785500526428,10083.0,10465.0,0.5346642732620239,0.8737374544143677,1279.0,3.0,1.1644121408462524,0.9741379022598267,0.08117815852165222,1360.0,113.0
2,0.9457951784133911,0.9831390976905823,422.0,773.0,0.15439632534980774,0.004,0.9320558905601501,0.9617268443107605,10247.0,10604.0,0.8816697001457214,0.945984423160553,179.0,147.0,0.29274094104766846,0.8919117450714111,0.8714080452919006,1216.0,1213.0
3,0.9477909803390503,0.9868118762969971,419.0,732.0,0.139015793800354,0.004,0.935438334941864,0.9619954824447632,10289.0,10606.0,0.7437386512756348,0.9399096965789795,639.0,67.0,0.5097075700759888,0.9185905456542969,0.5419355034828186,1293.0,756.0
4,0.9584504961967468,0.9910258054733276,321.0,595.0,0.1131681501865387,0.004,0.9473404884338379,0.970884382724762,10426.0,10704.0,0.9103448390960693,0.9746755957603455,164.0,83.0,0.22061608731746674,0.936689555644989,0.8821839094161987,1280.0,1228.0
5,0.9633039832115173,0.9934460520744324,304.0,505.0,0.09694867581129074,0.004,0.955027163028717,0.9724338054656982,10513.0,10724.0,0.9263157844543457,0.975775957107544,123.0,80.0,0.21379636228084564,0.9408283829689026,0.9118279814720154,1280.0,1272.0
6,0.9679760336875916,0.9949310421943665,259.0,447.0,0.08442272990942001,0.004,0.9601284265518188,0.9765036702156067,10576.0,10764.0,0.8490018248558044,0.9728502035140991,387.0,29.0,0.36511915922164917,0.9720077514648438,0.7223816514015198,1332.0,1007.0
7,0.9774108529090881,0.9970126748085022,179.0,319.0,0.06363661587238312,0.004,0.9714234471321106,0.9837612509727478,10704.0,10844.0,0.8849364519119263,0.9787745475769043,279.0,38.0,0.2853562831878662,0.9670710563659668,0.800000011920929,1322.0,1116.0
8,0.9872539043426514,0.998833417892456,109.0,172.0,0.03895283117890358,0.00040000002,0.9844863414764404,0.9901124835014343,10850.0,10915.0,0.9520871043205261,0.983198344707489,72.0,60.0,0.1596737802028656,0.9566160440444946,0.948387086391449,1300.0,1323.0
9,0.9906105399131775,0.9994004964828491,65.0,142.0,0.02932729199528694,0.00040000002,0.987208366394043,0.9941037893295288,10880.0,10959.0,0.9560798406600952,0.9817667007446289,54.0,67.0,0.16581209003925323,0.9524485468864441,0.9613180756568909,1292.0,1342.0
10,0.99219810962677,0.9995227456092834,58.0,114.0,0.02433302253484726,0.00040000002,0.9897093176841736,0.9947378039360046,10910.0,10964.0,0.9531760215759277,0.9826940298080444,60.0,69.0,0.16903606057167053,0.9508547186851501,0.9569892287254333,1291.0,1335.0
11,0.992833137512207,0.9996718168258667,48.0,110.0,0.02220088243484497,4.0000003e-05,0.9900757670402527,0.9956450462341309,10914.0,10974.0,0.9524500966072083,0.9826302528381348,56.0,75.0,0.1686108559370041,0.94669508934021,0.9596541523933411,1292.0,1332.0
12,0.9933775067329407,0.9996824860572815,49.0,97.0,0.021581051871180534,4.0000003e-05,0.9912383556365967,0.9955547451972961,10926.0,10974.0,0.9528130888938904,0.9819154143333435,51.0,79.0,0.17013923823833466,0.9441696405410767,0.9632300138473511,1289.0,1336.0
